name,hp,hp+,hp5,hp5+,mp,mp+,mp5,mp5+,ad,ad+,as,as+,ar,ar+,mr,mr+,ms,rng
Aatrox,580.0,90.0,3.0,1.0,0.0,0.0,0.0,0.0,60.0,5.0,0.651,2.5,38.0,3.25,32.1,1.25,345.0,175.0
Ahri,526.0,92.0,6.5,0.6,418.0,25.0,8.0,0.8,53.04,3.0,0.668,2.0,20.88,3.5,30.0,0.5,330.0,550.0
Akali,575.0,95.0,8.0,0.5,200.0,0.0,50.0,0.0,62.4,3.3,0.625,3.2,23.0,3.5,37.0,1.25,345.0,125.0
Alistar,573.36,106.0,8.5,0.85,350.0,40.0,8.5,0.8,61.1116,3.62,0.625,2.125,44.0,3.5,32.1,1.25,330.0,125.0
Amumu,613.12,84.0,9.0,0.85,287.2,40.0,7.382,0.525,53.38,3.8,0.638,2.18,33.0,3.8,32.1,1.25,335.0,125.0
Anivia,480.0,82.0,5.5,0.55,495.0,25.0,8.0,0.8,51.376,3.2,0.625,1.68,21.22,4.0,30.0,0.5,325.0,600.0
Annie,524.0,88.0,5.5,0.55,418.0,25.0,8.0,0.8,50.41,2.625,0.579,1.36,19.22,4.0,30.0,0.5,335.0,625.0
Ashe,539.0,85.0,3.5,0.55,280.0,32.0,6.972,0.4,61.0,2.96,0.658,3.33,26.0,3.4,30.0,0.5,325.0,600.0
Aurelion Sol,575.0,92.0,7.0,0.6,350.0,50.0,6.0,0.8,57.0,3.2,0.625,1.36,19.0,3.6,30.0,0.5,325.0,550.0
Azir,552.0,92.0,7.0,0.75,438.0,21.0,8.0,0.8,52.0,2.8,0.625,3.0,19.04,3.0,30.0,0.5,335.0,525.0
Bard,575.0,89.0,5.5,0.55,350.0,50.0,6.0,0.45,52.0,3.0,0.625,2.0,34.0,4.0,30.0,0.5,330.0,500.0
Blitzcrank,582.6,95.0,8.5,0.75,267.2,40.0,8.5,0.8,61.54,3.5,0.625,1.13,40.0,3.5,32.1,1.25,325.0,125.0
Brand,519.68,88.0,5.5,0.55,469.0,21.0,10.665,0.6,57.04,3.0,0.625,1.36,21.88,3.5,30.0,0.5,340.0,550.0
Braum,540.0,87.0,8.0,1.0,310.6,45.0,6.0,0.8,55.376,3.2,0.644,3.5,47.0,4.0,32.1,1.25,335.0,125.0
Caitlyn,481.0,91.0,3.5,0.55,313.7,35.0,7.4,0.55,62.0,2.88,0.568,4.0,28.0,3.5,30.0,0.5,325.0,650.0
Camille,575.6,85.0,8.5,0.8,338.8,32.0,8.15,0.75,68.0,3.5,0.644,2.5,35.0,3.8,32.1,1.25,340.0,125.0
Cassiopeia,575.0,90.0,5.5,0.5,350.0,40.0,8.0,0.8,53.0,3.0,0.647,1.5,20.0,3.5,30.0,0.5,328.0,550.0
ChoGath,574.4,80.0,9.0,0.85,272.2,40.0,7.206,0.45,69.0,4.2,0.625,1.44,38.0,3.5,32.1,1.25,345.0,125.0
Corki,518.0,87.0,5.5,0.55,350.16,34.0,7.424,0.55,55.0,2.5,0.638,2.3,28.0,3.5,30.0,0.5,325.0,550.0
Darius,582.24,100.0,10.0,0.95,263.0,37.5,6.6,0.35,64.0,5.0,0.625,1.0,39.0,4.0,32.1,1.25,340.0,175.0
Diana,594.0,95.0,7.5,0.85,372.0,20.0,8.0,0.8,53.04,3.0,0.625,2.25,31.0,3.6,32.1,1.25,345.0,150.0
DrMundo,582.52,89.0,8.0,0.75,0.0,0.0,0.0,0.0,61.27,3.5,0.625,2.8,36.0,3.5,32.1,1.25,345.0,125.0
Draven,574.0,88.0,3.75,0.7,360.56,39.0,8.042,0.65,60.0,3.61,0.679,2.7,29.0,3.3,30.0,0.5,330.0,550.0
Ekko,585.0,85.0,9.0,0.9,280.0,50.0,7.0,0.8,58.0,3.0,0.625,3.3,32.0,3.0,32.0,1.25,340.0,125.0
Elise,534.0,93.0,5.5,0.6,324.0,50.0,6.0,0.8,55.0,3.0,0.625,1.75,27.0,3.35,30.0,0.5,330.0,550.0
Evelynn,572.0,84.0,8.5,0.75,315.6,42.0,8.108,0.6,61.0,3.0,0.667,2.1,37.0,3.5,32.1,1.25,335.0,125.0
Ezreal,491.0,86.0,4.0,0.55,360.6,42.0,8.092,0.65,60.0,2.5,0.625,1.5,22.0,3.5,30.0,0.5,325.0,550.0
Fiddlesticks,524.4,80.0,5.5,0.6,500.0,28.0,8.0,0.8,48.36,2.625,0.625,2.11,30.0,3.5,30.0,0.5,335.0,480.0
Fiora,550.0,85.0,8.5,0.55,300.0,40.0,8.0,0.7,68.0,3.3,0.69,3.2,33.0,3.5,32.1,1.25,345.0,150.0
Fizz,570.0,98.0,8.0,0.7,317.2,37.0,6.0,0.8,58.04,3.0,0.658,3.1,22.412,3.4,32.1,1.25,335.0,175.0
Galio,562.0,112.0,8.0,0.8,500.0,40.0,9.5,0.7,59.0,3.5,0.625,1.5,24.0,3.5,32.0,1.25,335.0,150.0
Gangplank,540.0,82.0,6.0,0.6,282.0,40.0,7.5,0.7,64.0,3.0,0.658,3.2,35.0,3.0,32.1,1.25,345.0,125.0
Garen,620.0,84.0,8.0,0.5,0.0,0.0,0.0,0.0,66.0,4.5,0.625,3.65,36.0,3.0,32.1,1.25,340.0,175.0
Gnar,510.0,65.0,4.5,1.75,100.0,0.0,0.0,0.0,59.0,3.0,0.625,6.0,32.0,2.5,30.0,0.5,325.0,175.0
